bfr_te_row,bfr_uic,bfr_tamcn,match_status,master_uic,master_tamcn,l_ft,w_ft,h_ft,vol_ea,vol_tot,space_factor,nsy,ntg_factor
428,M28262,E00302M,MATCHED,M28262,E00302M,0.6,0.13,0.13,0.01014,14.05404,,19,
429,M28262,E00412B,MATCHED,M28262,E00412B,1.28,0.27,0.27,0.093312,0,,19,
430,M28262,K00012B,MATCHED,M28262,K00012B,0.96,0.85,0.58,0.47328,39.75552,,19,
431,M28262,C30202E,MATCHED,M28262,C30202E,1.17,1.17,0.08,0.109512,827.91072,,19,
432,M28262,C31402E,MATCHED,M28262,C31402E,0.42,0.25,0.33,0.03465,130.977,,19,
433,M28262,C86048A,MATCHED,M28262,C86048A,4.17,3.33,3.5,48.60135,6123.7701,,19,
434,M28262,K41282E,MATCHED,M28262,K41282E,0,0,0,0,0,,,
435,M28262,H00047G,MATCHED,M28262,H00047G,1.84,1.49,0.87,2.385192,500.89032,,19,
436,M28262,C00832E,MATCHED,M28262,C00832E,0.58,0.17,0.08,0.007888,29.81664,,19,
437,M28262,C01152F,MATCHED,M28262,C01152F,0.83,0.5,0.17,0.07055,533.358,,19,
438,M28262,C01162F,MATCHED,M28262,C01162F,0.83,0.5,0.17,0.07055,533.358,,19,
439,M28262,E17982G,MATCHED,M28262,E17982G,0.5,0.25,0.08,0.01,0.84,,19,
440,M28262,C01362F,MATCHED,M28262,C01362F,1,1,0.5,0.5,1890,,19,
441,M28262,H70172EA,MATCHED,M28262,H70172EA,0.67,0.33,0.17,0.037587,1.578654,,19,
442,M28262,C44312E,MATCHED,M28262,C44312E,4,3.33,4,53.28,35804.16,,19,
443,M28262,A80017GA,MATCHED,M28262,A80017GA,0.67,0.25,0.42,0.07035,13.29615,,19,
444,M28262,C52652E,MATCHED,M28262,C52652E,0.99,0.99,0.74,0.725274,2741.53572,,19,
445,M28262,D00192BA,MATCHED,M28262,D00192BA,,,,,,,,
446,M28262,A91007G,MATCHED,M28262,A91007G,0.83,1.17,0.17,0.165087,117.872118,,19,
447,M28262,C21712E,MATCHED,M28262,C21712E,0,0,0,0,0,,,
448,M28262,K49592E,MATCHED,M28262,K49592E,5.83,3,0.33,5.7717,2908.9368,,19,
449,M28262,C22002E,MATCHED,M28262,C22002E,1.08,0.62,0.87,0.582552,110.102328,,19,
450,M28262,C21102E,MATCHED,M28262,C21102E,0.67,0.67,0.13,0.058357,22.058946,,19,
451,M28262,E00822B,MATCHED,M28262,E00822B,0.83,0.42,0.33,0.115038,0,,19,
452,M28262,C00402E,MATCHED,M28262,C00402E,0.96,0.67,0.42,0.270144,255.28608,,19,
453,M28262,A00977G,MATCHED,M28262,A00977G,1.17,0.67,0.92,0.721188,15.144948,,19,
454,M28262,B00087B,MATCHED,M28262,B00087B,3.97,3.08,3.95,48.29902,5071.3971,,19,
455,M28262,C01352F,MATCHED,M28262,C01352F,1,1,0.5,0.5,1890,,19,
456,M28262,C01702F,MATCHED,M28262,C01702F,0,0,0,0,0,,,
457,M28262,C34142E,MATCHED,M28262,C34142E,2.08,0.58,0.58,0.699712,1322.45568,,19,
458,M28262,C01202E,MATCHED,M28262,C01202E,1,1,1,1,3780,,19,
459,M28262,C32152E,MATCHED,M28262,C32152E,1,1,1,1,3402,,19,
460,M28262,E02012M,MATCHED,M28262,E02012M,,,,,,,,
461,M28262,C66322F,MATCHED,M28262,C66322F,1,0.67,0.25,0.1675,633.15,,19,
462,M28262,C87458A,MATCHED,M28262,C87458A,4.25,38.07,4,647.19,40772.97,,19,
463,M28262,D10017K,MATCHED,M28262,D10017K,17.08,7.17,8.5,1040.9406,87439.0104,,32,
464,M28262,D10027K,MATCHED,M28262,D10027K,14.99,7.17,6,644.8698,0,,32,
465,M28262,K49572E,MATCHED,M28262,K49572E,2.83,0.33,0.17,0.158763,86.684598,,19,
466,M28262,C00632F,MATCHED,M28262,C00632F,1.08,0.75,0.17,0.1377,1041.012,,19,
467,M28262,C00742E,MATCHED,M28262,C00742E,0.25,0.08,0.08,0.0016,6.048,,19,
468,M28262,C01172F,MATCHED,M28262,C01172F,0.83,0.5,0.17,0.07055,266.679,,19,
469,M28262,E09562B,MATCHED,M28262,E09562B,0.83,0.08,0.33,0.021912,0.920304,,19,
470,M28262,C34002F,MATCHED,M28262,C34002F,1,1,0.08,0.08,302.4,,19,
471,M28262,C01912F,MATCHED,M28262,C01912F,0.17,0.33,0.5,0.02805,212.058,,19,
472,M28262,C31502F,MATCHED,M28262,C31502F,0.67,0.42,0.67,0.188538,712.67364,,19,
473,M28262,D00487K,MATCHED,M28262,D00487K,18.13,8,6.36,922.4544,58114.6272,,32,
474,M28262,E01877B,MATCHED,M28262,E01877B,0.8,0.32,0.37,0.09472,0,,19,
475,M28262,K00382B,MATCHED,M28262,K00382B,1.18,0.96,0.54,0.611712,25.691904,,19,
476,M28262,C21302F,MATCHED,M28262,C21302F,1.15,0.46,0.17,0.08993,679.8708,,19,
477,M28262,C02182B,MATCHED,M28262,C02182B,,,,,,,,
478,M28262,C86248A,MATCHED,M28262,C86248A,8,4.58,5,183.2,11541.6,,19,
479,M28262,K41482E,MATCHED,M28262,K41482E,0.67,0.42,0.08,0.022512,13.237056,,19,
480,M28262,K41822E,MATCHED,M28262,K41822E,0,0,0,0,0,,,
481,M28262,C44332E,MATCHED,M28262,C44332E,4.75,8,6.83,259.54,92655.78,,19,
482,M28262,C01882F,MATCHED,M28262,C01882F,0.33,0.17,0.25,0.014025,0,,19,
483,M28262,E01142B,MATCHED,M28262,E01142B,0.9,0.24,0.23,0.04968,0,,19,
484,M28262,C54402F,MATCHED,M28262,C54402F,1.33,0.67,1,0.8911,3368.358,,19,
485,M28262,B21307BB,MATCHED,M28262,B21307BB,2.33,3.92,1.42,12.969712,544.727904,,19,
486,M28262,A93007G,MATCHED,M28262,A93007G,1.42,0.58,1.33,1.095388,0,,19,
487,M28262,E01272M,MATCHED,M28262,E01272M,0.54,0.12,0.12,0.007776,0,,19,
488,M28262,C86148A,MATCHED,M28262,C86148A,5.58,2.42,2.33,31.463388,1982.193444,,19,
489,M28262,C87008A,MATCHED,M28262,C87008A,4,4.58,4.91,89.9512,22667.7024,,19,
490,M28262,E09947M,MATCHED,M28262,E09947M,3.67,1.17,0.75,3.220425,135.25785,,19,
491,M28262,C11072F,MATCHED,M28262,C11072F,1,0.5,0.08,0.04,151.2,,19,
492,M28262,C01892F,MATCHED,M28262,C01892F,0.58,0.58,0.42,0.141288,0,,19,
493,M28262,D00587K,MATCHED,M28262,D00587K,,,,,,,,
494,M28262,B10217B,MATCHED,M28262,B10217B,6.83,3,4.4,90.156,11359.656,,19,
495,M28262,A12607GK,MATCHED,M28262,A12607GK,0.58,0.33,0.17,0.032538,6.149682,,19,
496,M28262,E11202B,MATCHED,M28262,E11202B,3.33,1.25,1.25,5.203125,218.53125,,19,
497,M28262,C53322E,MATCHED,M28262,C53322E,2,1.5,1,3,4032,,19,
498,M28262,E00992B,MATCHED,M28262,E00992B,0.33,0.17,0.25,0.014025,0,,19,
499,M28262,E09897M,MATCHED,M28262,E09897M,4.04,0.52,0.75,1.5756,66.1752,,19,
500,M28262,C86008A,MATCHED,M28262,C86008A,5.58,3.5,4.83,94.3299,5942.7837,,19,
501,M28262,A00227G,MATCHED,M28262,A00227G,1.75,1.42,1.75,4.34875,821.91375,,19,
502,M28262,A12607GL,MATCHED,M28262,A12607GL,0.58,0.33,0.17,0.032538,0,,19,
503,M28262,E02022B,MATCHED,M28262,E02022B,,,,,,,,
504,M28263,C00392B,UIC-MATCHED-TAMCN-MISMATCH,,,,,,,,,,
505,M28262,C00392B,UIC-MATCHED-TAMCN-MISMATCH,,,,,,,,,,
506,M28261,C00392B,UIC-MATCHED-TAMCN-MISMATCH,,,,,,,,,,
